event_id,event_start,event_end,amplitude,number_significant_peaks,number_all_peaks,mean_vertical,vertical_max_deflection,vertical_min_deflection,mean_lateral,lateral_max_deflection,lateral_min_deflection,plot_file_name
1,2025-07-23 11:45:41.375000,2025-07-23 11:46:21.843750,0.168,46,70,0.515,0.106,0.063,6.788,0.275,0.065,20250723_114541_event_01.png
2,2025-07-23 12:22:42.843750,2025-07-23 12:23:32.937500,0.109,42,94,0.528,0.063,0.046,6.825,0.412,0.059,20250723_122242_event_02.png
3,2025-07-23 12:30:11.062500,2025-07-23 12:30:58.281250,0.115,30,96,0.535,0.064,0.051,6.814,0.194,0.021,20250723_123011_event_03.png
