event_id,event_start,event_end,amplitude,number_significant_peaks,number_all_peaks,plot_file_name
1,2025-07-22 09:28:17.875,2025-07-22 09:28:25.625,0.086,6,6,20250722_092817_event_01.png
2,2025-07-22 10:22:24.750,2025-07-22 10:22:35.750,0.054,5,8,20250722_102224_event_02.png
3,2025-07-22 10:26:16.000,2025-07-22 10:27:02.625,0.082,18,42,20250722_102616_event_03.png
4,2025-07-22 11:14:50.750,2025-07-22 11:17:10.750,0.2,34,98,20250722_111450_event_04.png
5,2025-07-22 11:21:02.500,2025-07-22 11:21:19.125,0.053,6,10,20250722_112102_event_05.png
6,2025-07-22 11:24:57.000,2025-07-22 11:24:57.000,0.051,1,1,20250722_112457_event_06.png
